id_country,pollution,region_name,year
NGA,79.2,Kabba/Bunu,congo_2019
NGA,80.0,Kogi,congo_2019
NGA,79.4,Toto,congo_2019
NGA,78.1,Nasarawa,congo_2019
NGA,72.6,Doma,congo_2019
NGA,75.2,Keana,congo_2019
NGA,74.0,Awe,congo_2019
NGA,65.6,Ibi,congo_2019
NGA,61.4,Gassol,congo_2019
NGA,69.6,Gassol,congo_2019
NGA,67.4,Bali,congo_2019
NGA,59.3,Teungo,congo_2019
NGA,57.7,Ganye,congo_2019
CMR,58.0,Faro,congo_2019
CMR,52.1,Faro,congo_2019
CMR,53.7,Mayo Rey,congo_2019
CMR,52.5,Mayo Rey,congo_2019
CMR,48.3,Mayo Rey,congo_2019
CMR,46.4,Mayo Rey,congo_2019
TCD,47.8,Monts de Lam,congo_2019
TCD,45.3,Nya Pendé,congo_2019
TCD,46.6,Lanya,congo_2019
TCD,44.3,Pendé,congo_2019
TCD,41.0,Barh Sara,congo_2019
TCD,38.8,Grande Sido,congo_2019
TCD,37.7,Grande Sido,congo_2019
CAF,34.9,Kaga-Bandoro,congo_2019
CAF,34.8,Bamingui,congo_2019
CAF,33.9,Bamingui,congo_2019
CAF,34.7,Ndélé,congo_2019
CAF,31.3,Ndélé,congo_2019
CAF,30.4,Ouadda,congo_2019
CAF,28.6,Ouadda,congo_2019
CAF,28.4,Ouadda,congo_2019
CAF,28.7,Ouadda,congo_2019
CAF,28.7,Yalinga,congo_2019
CAF,29.5,Yalinga,congo_2019
SSD,30.3,Raja,congo_2019
SSD,31.0,Raja,congo_2019
SSD,33.1,Raja,congo_2019
SSD,34.4,Raja,congo_2019
SSD,35.2,Aweil,congo_2019
SSD,34.4,Aweil,congo_2019
SSD,36.0,Gogrial,congo_2019
SSD,37.0,Gogrial,congo_2019
SSD,35.2,Warab,congo_2019
SSD,33.6,Warab,congo_2019
SSD,31.3,Al Leiri,congo_2019
SSD,30.2,Al Leiri,congo_2019
SSD,26.9,Ayod,congo_2019
SSD,26.4,Wat,congo_2019
SSD,25.2,Nahr Atiem,congo_2019
SSD,25.4,Nahr Atiem,congo_2019
ETH,26.1,Nuer,congo_2019
ETH,26.2,Nuer,congo_2019
ETH,24.7,Agnuak,congo_2019
ETH,22.4,Agnuak,congo_2019
ETH,21.3,Ilubabor,congo_2019
ETH,21.3,Ilubabor,congo_2019
ETH,20.4,Ilubabor,congo_2019
ETH,21.1,Ilubabor,congo_2019
ETH,20.7,Jimma,congo_2019
ETH,21.3,Gurage,congo_2019
ETH,19.1,Gurage,congo_2019
ETH,21.2,Misraq Shewa,congo_2019
ETH,22.0,Arsi,congo_2019
ETH,18.8,Arsi,congo_2019
ETH,17.3,Arsi,congo_2019
ETH,15.8,Mirab Hararghe,congo_2019
ETH,14.9,Mirab Hararghe,congo_2019
ETH,12.9,Misraq Harerge,congo_2019
ETH,12.0,Nogob,congo_2019
NGA,82.2,Okehi,congo_2019
NGA,83.7,Lokoja,congo_2019
NGA,80.3,Dekina,congo_2019
NGA,81.8,Omala,congo_2019
NGA,81.5,Gwer West,congo_2019
NGA,80.4,Guma,congo_2019
NGA,70.7,Logo,congo_2019
NGA,71.6,Wukari,congo_2019
NGA,72.1,Donga,congo_2019
NGA,62.2,Bali,congo_2019
NGA,65.4,Gashaka,congo_2019
NGA,56.5,Gashaka,congo_2019
CMR,54.4,Faro et Déo,congo_2019
CMR,47.5,Faro,congo_2019
CMR,50.0,Faro,congo_2019
CMR,47.7,Vina,congo_2019
CMR,44.5,Mayo Rey,congo_2019
CMR,47.3,Mayo Rey,congo_2019
CMR,46.1,Mayo Rey,congo_2019
TCD,46.7,Monts de Lam,congo_2019
TCD,44.1,Monts de Lam,congo_2019
TCD,41.1,Nya Pendé,congo_2019
CAF,40.3,Markounda,congo_2019
CAF,37.1,Batangafo,congo_2019
CAF,36.9,Batangafo,congo_2019
CAF,36.6,Kabo,congo_2019
CAF,34.9,Kaga-Bandoro,congo_2019
CAF,34.8,Bamingui,congo_2019
CAF,34.3,Bamingui,congo_2019
CAF,33.4,Bamingui,congo_2019
CAF,30.1,Ouadda,congo_2019
CAF,29.3,Ouadda,congo_2019
CAF,27.9,Ouadda,congo_2019
CAF,29.0,Ouadda,congo_2019
CAF,30.3,Yalinga,congo_2019
CAF,29.5,Yalinga,congo_2019
CAF,29.7,Yalinga,congo_2019
CAF,30.4,Djemah,congo_2019
CAF,30.6,Djemah,congo_2019
