year,life_exp,population,pm
1998,76.157,1819544.0,14.34
1999,76.416,1877427.0,14.93
2000,76.722,1934901.0,17.49
2001,76.891,1991674.0,12.94
2002,76.982,2047364.0,14.5
2003,76.985,2101506.0,11.9
2004,76.792,2153481.0,12.26
2005,76.903,2235403.0,12.7
2006,76.887,2363409.0,14.59
2007,77.017,2506769.0,14.67
2008,77.145,2650930.0,17.23
2009,77.442,2795550.0,17.73
2010,77.982,2943356.0,18.58
2011,78.464,3143825.0,17.129999
2012,78.812,3394663.0,19.969999
2013,79.164,3646518.0,15.9
2014,79.445,3761584.0,18.889999
2015,79.562,3908743.0,18.99
2016,79.701,4048085.0,13.11
2017,79.781,4124904.0,17.559999
2018,79.722,4317185.0,18.85
