year,life_exp,population,pm
2000,77.8853658536585,61833.0,4.3699999
2001,77.8853658536585,62504.0,3.97
2002,78.0878048780488,62912.0,3.73
2003,78.3341463414634,63325.0,3.72
2004,78.4853658536585,63740.0,3.78
2005,78.6853658536586,64154.0,4.0599999
2006,78.8878048780488,64523.0,3.4400001
2007,78.9341463414634,64888.0,3.97
2008,79.2365853658537,65273.0,3.22
2009,79.3884390243903,65636.0,2.71
2010,79.2885365853658,65124.0,3.01
2011,81.1526829268293,64564.0,2.9300001
2012,81.6778048780488,64798.0,2.9200001
2013,80.5724390243902,65001.0,2.5799999
2014,80.7973170731707,65138.0,2.74
2015,81.0121951219512,65237.0,2.6300001
2016,81.2270731707317,64554.0,2.28
2017,81.4419512195122,63873.0,2.28
2018,81.6517073170732,63918.0,2.1700001
