year,life_exp,population,pm
1998,52.582,14314599.0,30.690001
1999,52.695,14698973.0,28.43
2000,52.932,15091594.0,29.959999
2001,53.142,15493253.0,31.49
2002,53.415,15914033.0,29.870001
2003,53.883,16354326.0,29.370001
2004,54.178,16809407.0,30.57
2005,54.362,17275171.0,30.32
2006,54.856,17751333.0,28.110001
2007,55.165,18251866.0,29.35
2008,55.655,18777081.0,32.189999
2009,56.102,19319274.0,30.41
2010,56.582,19878036.0,31.459999
2011,57.133,20448873.0,30.139999
2012,57.792,21032684.0,29.360001
2013,58.476,21632850.0,30.51
2014,58.935,22299585.0,28.57
2015,59.658,23012646.0,28.030001
2016,60.233,23711630.0,30.540001
2017,60.81,24393181.0,30.76
2018,61.18,25076747.0,30.440001
