year,life_exp,population,pm
1998,48.81,25029144.0,10.04
1999,57.015,25634162.0,9.9799995
2000,58.319,26298773.0,9.0299997
2001,58.562,26947253.0,8.2399998
2002,58.976,27570318.0,9.0200005
2003,58.2,28188977.0,8.5600004
2004,56.773,28831550.0,8.3999996
2005,57.279,29540577.0,9.0
2006,60.281,30332968.0,9.8800001
2007,61.256,31191163.0,9.6099997
2008,61.206,32065241.0,9.54
2009,62.644,32948155.0,8.8000002
2010,63.016,33739933.0,10.22
2011,63.246,34419624.0,9.8199997
2012,63.792,35159792.0,9.46
2013,63.678,35990704.0,8.3900003
2014,64.269,37003245.0,9.3800001
2015,64.659,38171178.0,8.9300003
2016,64.78,39377169.0,9.4899998
2017,65.445,40679828.0,10.72
2018,65.681,41999059.0,9.79
