,year,life_exp,population,pm
4074,1998,60.001,45852166.0,23.01
4075,1999,59.241,46364681.0,22.049999
4076,2000,58.47,46813266.0,22.08
4077,2001,57.261,47229714.0,22.559999
4078,2002,55.666,47661514.0,22.030001
4079,2003,54.331,48104048.0,21.950001
4080,2004,54.043,48556071.0,22.870001
4081,2005,53.98,49017147.0,23.639999
4082,2006,54.278,49491756.0,23.07
4083,2007,54.992,49996094.0,22.74
4084,2008,56.022,50565812.0,23.24
4085,2009,57.447,51170779.0,22.629999
4086,2010,58.899,51784921.0,25.700001
4087,2011,60.651,52443325.0,22.440001
4088,2012,61.846,53145033.0,22.379999
4089,2013,62.533,53873616.0,21.26
4090,2014,63.38,54729551.0,20.48
4091,2015,63.95,55876504.0,21.68
4092,2016,64.747,56422274.0,20.209999
4093,2017,65.402,56641209.0,21.15
4094,2018,65.674,57339635.0,21.219999
