year,life_exp,population,pm
1998,57.135,8060896.0,7.27
1999,57.961,8208941.0,7.0599999
2000,58.365,8360225.0,6.8000002
2001,58.489,8511728.0,7.8000002
2002,58.855,8661546.0,7.79
2003,59.507,8812245.0,8.4300003
2004,58.475,8961489.0,7.21
2005,60.415,9111900.0,8.8500004
2006,60.763,9266288.0,8.29
2007,61.103,9420826.0,7.96
2008,61.332,9575247.0,7.71
2009,61.741,9730638.0,8.0799999
2010,46.019,9842880.0,9.1899996
2011,61.623,9954312.0,8.3999996
2012,62.291,10108539.0,7.8099999
2013,62.605,10261206.0,8.3299999
2014,62.987,10412740.0,8.4300003
2015,63.237,10563757.0,8.4899998
2016,63.392,10713849.0,7.9899998
2017,63.854,10863543.0,8.3999996
2018,64.019,11012421.0,8.1599998
