,year,life_exp,population,pm
1754,1998,68.73,63461421.0,13.53
1755,1999,69.297,64474745.0,12.6
1756,2000,69.691,65544383.0,15.46
1757,2001,69.955,66674851.0,13.49
1758,2002,70.445,67327117.0,14.6
1759,2003,69.823,67954699.0,13.23
1760,2004,71.37,69061674.0,12.94
1761,2005,71.838,70182594.0,14.17
1762,2006,72.276,71275760.0,15.18
1763,2007,72.772,72319418.0,15.11
1764,2008,72.624,73318394.0,16.17
1765,2009,72.698,74322685.0,16.75
1766,2010,73.069,75373855.0,16.23
1767,2011,73.679,76342971.0,18.049999
1768,2012,74.186,77324451.0,17.889999
1769,2013,74.449,78458928.0,15.33
1770,2014,74.782,79961672.0,17.01
1771,2015,75.124,81790841.0,16.16
1772,2016,75.6,83306231.0,15.43
1773,2017,75.971,84505076.0,17.620001
1774,2018,76.195,85617562.0,16.5
