year,life_exp,population,pm
1998,74.99,3128530.0,16.23
1999,75.183,3108778.0,14.91
2000,75.404,3089027.0,16.809999
2001,75.639,3060173.0,15.93
2002,75.89,3051010.0,17.299999
2003,76.142,3039616.0,19.530001
2004,76.376,3026939.0,15.25
2005,76.621,3011487.0,16.780001
2006,76.816,2992547.0,18.66
2007,77.549,2970017.0,17.43
2008,77.653,2947314.0,14.86
2009,77.781,2927519.0,14.05
2010,77.936,2913021.0,11.5
2011,78.092,2905195.0,19.620001
2012,78.064,2900401.0,16.25
2013,78.123,2895092.0,13.56
2014,78.407,2889104.0,12.35
2015,78.644,2880703.0,15.5
2016,78.86,2876101.0,13.04
2017,79.047,2873457.0,14.23
2018,79.184,2866376.0,13.68
