year,life_exp,population,pm
1998,49.158,2322753.0,10.99
1999,43.397,2356477.0,11.14
2000,56.111,2392880.0,11.82
2001,58.298,2461927.0,10.68
2002,58.811,2547424.0,11.91
2003,59.409,2653390.0,11.77
2004,59.899,2763140.0,10.64
2005,60.597,2831732.0,11.24
2006,61.611,2880093.0,12.03
2007,62.116,2926168.0,12.6
2008,62.573,3005779.0,12.66
2009,63.328,3083888.0,12.32
2010,63.787,3147727.0,12.13
2011,64.402,3207570.0,14.24
2012,64.838,3252596.0,12.74
2013,65.067,3296367.0,11.69
2014,65.6,3323425.0,12.33
2015,66.033,3340006.0,13.27
2016,66.289,3365287.0,12.57
2017,66.577,3396933.0,14.63
2018,67.067,3445374.0,13.62
