,year,life_exp,population,pm
1607,1998,72.3170731707317,4532135.0,20.4
1608,1999,72.6419512195122,4512597.0,18.879999
1609,2000,72.8078048780488,4468302.0,18.030001
1610,2001,74.5129268292683,4299642.0,20.18
1611,2002,74.7173170731707,4302174.0,20.51
1612,2003,74.6139024390244,4303399.0,21.290001
1613,2004,75.520243902439,4304600.0,19.32
1614,2005,75.2446341463415,4310145.0,21.450001
1615,2006,75.8368292682927,4311159.0,21.360001
1616,2007,75.7056097560976,4310217.0,17.26
1617,2008,75.9121951219512,4309705.0,16.85
1618,2009,76.1682926829268,4305181.0,17.51
1619,2010,76.4756097560976,4295427.0,17.85
1620,2011,76.7756097560976,4280622.0,21.57
1621,2012,76.9243902439024,4267558.0,17.889999
1622,2013,77.1268292682927,4255689.0,17.209999
1623,2014,77.4780487804878,4238389.0,14.9
1624,2015,77.2756097560976,4203604.0,17.959999
1625,2016,78.0219512195122,4174349.0,17.110001
1626,2017,77.8268292682927,4124531.0,16.82
1627,2018,78.0707317073171,4087843.0,16.209999
