,year,life_exp,population,pm
1355,1998,80.663,27636.0,9.1999998
1356,1999,81.533,27695.0,9.3999996
1357,2000,81.37,27741.0,8.5
1358,2001,81.087,27721.0,9.3999996
1359,2002,80.26,27892.0,10.1
1360,2003,79.694,28301.0,9.1000004
1361,2004,80.948,28716.0,9.0
1362,2005,81.442,29155.0,9.3000002
1363,2006,80.393,29587.0,10.0
1364,2007,78.514,29996.0,11.1
1365,2008,80.13,30398.0,9.1000004
1366,2009,81.243,30819.0,8.1999998
1367,2010,80.958,31262.0,7.4000001
1368,2011,81.871,31701.0,9.0
1369,2012,83.366,32160.0,9.0
1370,2013,80.55,32411.0,9.6000004
1371,2014,81.882,32452.0,8.1000004
1372,2015,80.427,32520.0,9.8000002
1373,2016,81.702,32565.0,7.9000001
1374,2017,81.83,32602.0,8.0
1375,2018,82.154,32648.0,8.8999996
