,year,life_exp,population,pm
3061,1998,69.478,4923449.0,13.21
3062,1999,69.634,5026031.0,16.450001
3063,2000,69.75,5123819.0,12.84
3064,2001,69.9,5211541.0,13.87
3065,2002,70.025,5286512.0,18.219999
3066,2003,70.297,5353254.0,15.76
3067,2004,70.481,5416324.0,14.37
3068,2005,70.527,5476878.0,14.92
3069,2006,70.781,5534675.0,13.94
3070,2007,71.106,5590145.0,19.969999
3071,2008,71.384,5645148.0,12.43
3072,2009,71.635,5702574.0,12.64
3073,2010,71.887,5768613.0,12.64
3074,2011,72.131,5843939.0,11.76
3075,2012,72.454,5923322.0,12.68
3076,2013,72.757,6005652.0,11.35
3077,2014,72.878,6090721.0,13.13
3078,2015,73.191,6177950.0,13.87
3079,2016,73.534,6266615.0,12.2
3080,2017,73.644,6355404.0,12.66
3081,2018,73.568,6443328.0,11.47
