year,life_exp,population,pm
1998,60.629,5138829.0,3.51
1999,61.672,5321388.0,3.95
2000,61.72,5508297.0,7.8299999
2001,61.773,5698489.0,9.8800001
2002,61.698,5892596.0,9.5200005
2003,61.797,6090980.0,9.4200001
2004,61.761,6293166.0,11.27
2005,61.801,6498818.0,9.9899998
2006,61.917,6708217.0,11.25
2007,62.034,6921066.0,11.68
2008,62.571,7137988.0,13.19
2009,62.788,7358890.0,11.95
2010,63.039,7583269.0,13.17
2011,63.526,7806637.0,12.1
2012,63.733,8026545.0,12.3
2013,63.961,8245627.0,13.55
2014,64.259,8464153.0,13.52
2015,64.701,8682174.0,12.25
2016,64.84,8899169.0,11.46
2017,65.103,9114796.0,12.56
2018,65.182,9329227.0,10.7
