year,life_exp,population,pm
1998,79.3390243902439,8850974.0,7.5500002
1999,79.4414634146342,8857874.0,7.8299999
2000,79.6439024390244,8872109.0,7.3699999
2001,79.7951219512195,8895960.0,6.8400002
2002,79.8463414634146,8924958.0,7.23
2003,80.0951219512195,8958229.0,7.5900002
2004,80.4975609756098,8993531.0,6.71
2005,80.5463414634146,9029572.0,6.9699998
2006,80.7487804878049,9080505.0,7.6199999
2007,80.9,9148092.0,6.29
2008,81.1,9219637.0,6.52
2009,81.3512195121951,9298515.0,6.3499999
2010,81.4512195121951,9378126.0,6.7600002
2011,81.8024390243903,9449213.0,6.8000002
2012,81.7048780487805,9519374.0,5.6599998
2013,81.9560975609756,9600379.0,5.2600002
2014,82.2536585365854,9696110.0,6.6599998
2015,82.2048780487805,9799186.0,5.1900001
2016,82.3073170731707,9923085.0,5.0300002
2017,82.409756097561,10057698.0,4.77
2018,82.5585365853659,10175214.0,5.52
